name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
10 Barrel Brewing Co - Denver,large,Denver,80205,,Colorado,,,,,,,34767,0.223
105 West Brewing Co,micro,Castle Rock,80109,http://www.105westbrewing.com,Colorado,,,,,,,23185,0.133
12Degree Brewing,brewpub,Louisville,80027,http://www.12degree.com,Colorado,,,,,,,33830,0.18
14er Brewing Company,proprietor,Denver,80205,http://www.14erBrewing.com,Colorado,,,,,,,34767,0.223
3 Freaks Brewing Co,micro,Highlands Ranch,80126,http://www.3freaksbrewery.com,Colorado,,,,,,,43222,0.138
300 Suns Brewing Company,brewpub,Longmont,80501,http://www.300sunsbrewing.com,Colorado,Colorado Cup Winner,"Coffee, Chocolate, & Dessert Beers",Psychotic Balaclava Horchata Stout,,,,41671,0.231
38 State Brewing,micro,Littleton,80122,http://www.38statebrew.com,Colorado,,,,,,,32927,0.104
4 Noses Brewing Company,micro,Broomfield,80021,http://4nosesbrewing.com,Colorado,,,,,,,33743,0.141
4B's Brewery,brewpub,Cedaredge,81413,http://www.4bsbrewery.com,Colorado,,,,,,,5426,0.39
6 & 40 Brewery/Taproom,planning,Lakewood,80215,http://www.tomsbrewshop.com,Colorado,,,,,,,19227,0.155
7 Hermits Brewing Company,brewpub,Eagle,81631,http://www.7hermitsbrewing.com,Colorado,,,,,,,8718,0.048
Acidulous Brewing Company,contract,Littleton,80128,,Colorado,,,,,,,36271,0.145
Aero Craft Brewing,planning,Denver,80212,http://www.aerocraft.beer,Colorado,,,,,,,19446,0.192
Alpine Dog Brewing Co,micro,Denver,80218,http://www.alpinedogbrewery.com,Colorado,,,,,,,19183,0.158
Alternation Brewing Company,micro,Denver,80210,http://www.alternationbrewing.com,Colorado,,,,,,,34639,0.207
Amalgam Brewing,proprietor,Denver,80221,http://www.amalgambrewing.com,Colorado,Colorado Cup Winner,Standard American-Style IPAs,Modern West,,,,41235,0.225
Angry James Brewing Co,micro,Silverthorne,80498,http://www.angryjamesbrewing.com,Colorado,,,,,,,7993,0.073
Anheuser-Busch Inc - Fort Collins,large,Fort Collins,80524,,Colorado,,,,,,,36122,0.334
Animas Brewing Co,brewpub,Durango,81301,http://www.animasbrewing.com,Colorado,,,,,,,29392,0.2
Asher Brewing Co,micro,Boulder,80301,http://asherbrewing.com,Colorado,,,,,,,24783,0.165
Aspen Brewing Company,micro,Aspen,81611,http://www.aspenbrewingcompany.com,Colorado,Colorado Cup Winner,Standard Hazy Pale Ales & IPAs,Excess In Moderation,,,,11115,0.158
Aspen Brewing Company,micro,Aspen,81611,http://www.aspenbrewingcompany.com,Colorado,,,,Gold,Mexican-Style Pale Lager,Casa Bonita,11115,0.158
Atom Brewing Company,micro,Erie,80516,http://www.atombrewingcompany.com,Colorado,,,,,,,28166,0.175
Atrevida Beer Company,micro,Colorado Springs,80908,http://www.atrevidabeerco.com,Colorado,,,,,,,18468,0.185
Avalanche Brewing Co,brewpub,Silverton,81433,http://www.avalanchebrewing.com,Colorado,,,,,,,558,0.15
Avant Garde Aleworks,micro,Estes Park,80517,https://avantgardealeworks.com,Colorado,Colorado Cup Winner,Fruit & Field Beers,Harvest Saison,,,,10344,0.182
Avery Brewing Co,regional,Boulder,80301,,Colorado,,,,Bronze,Experimental Beer,NaughTea,24783,0.165
Baere Brewing Company,micro,Denver,80203,http://www.baerebrewing.com,Colorado,,,,,,,21263,0.135
Banded Oak Brewing Company,brewpub,Denver,80203,http://Bandedoakbrewing.com,Colorado,Colorado Cup Winner,Porters & Stouts,Paramount Porter,,,,21263,0.135
Barnett and Son Brewing Company,micro,Parker,80134,,Colorado,,,,,,,69059,0.116
Barrel Dog Brewing,micro,Evergreen,80439,,Colorado,,,,,,,24797,0.186
Barrels & Bottles Brewery,brewpub,Golden,80401,http://www.barrelsbottles.com,Colorado,,,,,,,39413,0.276
Battle Mountain Brewing Co,brewpub,Castle Rock,80104,https://www.battlemountaincr.com,Colorado,,,,,,,31278,0.15
Beer By Design Brewery,contract,Thornton,80233,http://www.beerbydesign.com,Colorado,,,,,,,49490,0.159
Bent Barley Brewing Co,micro,Centennial,80016,https://www.bentbarley.com/,Colorado,Colorado Cup Winner,Porters & Stouts,Dry Irish Stout,,,,56711,0.102
Berthoud Brewing Company,micro,Berthoud,80513,http://www.berthoudbrewing.com,Colorado,,,,,,,12842,0.179
Beyond The Mountain Brewing Company,micro,Boulder,80301,http://www.btmbrewing.com,Colorado,Colorado Cup Winner,Standard Hazy Pale Ales & IPAs,I Wish You More,,,,24783,0.165
Bierstadt Lagerhaus,brewpub,Denver,80205,http://www.bierstadtlager.com,Colorado,,,,,,,34767,0.223
BierWerks,brewpub,Woodland Park,80863,http://www.bierwerks.com,Colorado,,,,,,,13020,0.18
Big Beaver Brewing Co,micro,Loveland,80537,http://www.bigbeaverbrew.com,Colorado,,,,,,,43100,0.143
Big Choice Brewing Co,micro,Brighton,80601,http://www.bigchoicebrewing.com,Colorado,,,,,,,38968,0.166
Big Thompson Brewery,micro,Loveland,80538,,Colorado,,,,,,,48751,0.192
BJs Restaurant & Brewery - Boulder,brewpub,Boulder,80301,http://www.bjsrestaurants.com,Colorado,,,,,,,24783,0.165
Black Beak Brewing,planning,Denver,80237,,Colorado,,,,,,,21871,0.102
Black Bottle Brewery,brewpub,Fort Collins,80525,http://www.blackbottlebrewery.com,Colorado,,,,,,,54872,0.239
Black Cat Brewing,planning,Boulder,80302,http://www.blackcatbrewing.com,Colorado,,,,,,,27428,0.529
